01,02,04,05,06,08,09,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56,72,78,US
25,0,20,23,56,5,1,0,0,42,17,0,5,11,18,5,16,9,5,0,14,7,8,0,3,8,0,0,15,7,17,1,20,18,0,20,22,0,20,0,39,0,30,180,1,0,36,0,7,0,0,5,2,738
40,0,18,26,83,0,1,0,1,52,23,0,2,19,6,3,9,7,3,0,11,3,3,1,37,18,0,2,6,0,14,3,10,11,1,11,18,0,26,0,19,1,22,80,0,0,40,2,21,0,0,12,0,665
40,0,27,30,46,4,1,3,0,53,32,0,2,4,10,6,7,7,2,0,3,3,8,1,32,12,0,2,12,0,6,16,23,13,1,5,7,0,23,0,7,0,27,102,1,0,59,0,0,1,12,10,0,660
38,0,10,10,44,6,0,0,1,65,26,0,0,6,9,1,2,9,8,0,4,3,5,0,17,13,0,1,2,1,14,2,19,3,0,13,3,0,19,0,5,5,25,99,0,0,49,0,0,0,0,8,0,545
45,0,12,25,20,5,0,0,2,44,29,0,0,6,10,4,16,21,12,0,3,1,4,12,10,13,0,1,3,1,11,2,26,11,1,7,12,0,16,0,14,0,32,109,0,0,28,0,5,4,0,16,0,593
28,0,14,21,19,1,0,0,0,92,19,0,0,13,11,1,1,6,4,0,0,2,1,0,9,6,0,1,4,0,9,10,22,8,0,5,12,0,21,0,6,0,43,77,0,1,26,0,5,5,0,13,0,516
27,0,7,27,24,1,0,0,0,53,17,0,0,6,9,1,3,7,5,2,12,1,0,1,10,13,0,0,0,1,14,3,13,13,0,12,9,1,23,0,8,2,32,76,5,0,34,1,5,0,0,4,0,482
19,0,15,12,19,1,0,0,0,49,25,0,0,1,9,4,5,5,4,0,1,3,2,5,17,20,0,5,4,1,14,1,21,10,0,20,9,0,9,0,17,2,15,62,5,0,39,2,5,12,0,12,0,481
41,0,10,15,24,1,0,0,0,47,27,0,0,2,6,0,10,35,7,0,5,2,3,8,6,13,1,6,7,0,10,2,13,5,0,17,13,1,12,0,14,0,12,80,0,0,28,3,5,2,0,5,0,498
20,0,29,19,16,8,0,0,0,53,16,0,0,2,3,0,5,19,8,2,2,2,4,18,12,7,0,2,8,0,6,0,15,2,0,13,15,0,6,0,16,0,23,36,0,0,49,5,6,1,0,18,0,466
19,0,10,22,18,1,0,0,0,51,20,0,1,0,18,2,21,3,4,0,2,7,1,7,19,1,0,2,3,0,10,0,14,5,0,11,3,0,11,0,6,0,24,79,0,0,9,1,0,1,1,18,0,425
22,0,14,14,13,5,0,0,0,82,32,0,3,0,8,0,0,7,1,1,1,3,0,0,8,12,0,0,7,0,18,1,13,5,0,4,9,0,17,0,9,0,23,34,0,0,25,3,0,2,1,19,0,416
17,0,5,17,13,1,0,0,0,78,20,0,0,2,8,10,2,6,5,0,0,0,1,0,8,2,0,1,1,1,6,0,15,3,0,13,7,0,9,0,21,5,23,33,1,0,29,1,0,1,3,17,0,385
11,0,11,10,5,0,0,0,0,49,16,0,0,17,56,3,6,2,3,0,1,4,1,0,7,3,0,2,3,0,11,0,25,0,0,7,13,0,11,0,6,0,23,34,0,1,18,1,0,1,0,8,0,369
18,0,6,20,9,1,0,0,0,50,18,0,6,13,13,11,7,6,8,5,2,7,7,0,14,9,2,0,1,1,8,8,27,8,1,0,13,0,17,0,3,0,19,32,0,0,40,1,15,0,0,16,0,442
19,4,7,26,10,0,0,1,0,73,21,0,0,7,13,4,7,3,1,0,1,0,13,1,2,11,0,0,5,1,11,0,20,15,0,10,7,0,13,0,20,1,25,25,0,0,26,0,0,0,0,14,0,417
32,7,3,24,19,1,0,1,0,55,15,0,0,6,15,1,9,3,7,0,0,1,11,0,10,13,0,0,5,1,14,0,20,61,0,3,6,0,10,0,7,6,17,34,0,0,57,2,1,1,0,15,0,493
19,7,21,15,9,0,0,0,0,36,9,0,0,3,8,3,5,3,3,0,0,2,3,2,3,6,0,0,6,0,5,0,17,105,0,2,4,1,9,0,3,3,13,30,1,0,30,1,5,4,0,29,0,425
9,7,8,6,15,0,1,0,0,51,22,0,0,2,2,1,9,2,3,1,6,1,1,1,10,3,0,0,2,3,8,0,11,30,0,1,15,0,18,0,7,3,13,26,0,0,25,1,1,0,1,18,0,344
19,7,13,4,8,5,0,0,0,42,4,0,0,2,4,0,0,1,1,0,2,0,3,0,12,6,0,0,1,0,28,0,19,13,1,2,7,0,9,0,4,1,25,29,6,0,21,7,2,1,0,12,0,321
15,7,3,8,12,6,0,0,0,41,15,0,0,7,9,1,7,12,4,0,0,0,0,0,16,2,0,3,0,0,4,1,14,11,0,1,8,0,14,0,7,0,7,29,0,0,11,1,6,0,2,17,0,301
16,8,6,12,13,1,0,0,0,37,7,0,0,2,2,1,0,5,7,0,0,0,2,0,10,3,0,0,1,0,3,0,16,6,1,3,20,1,26,0,10,2,6,26,0,0,27,0,5,4,0,6,0,295
20,7,13,7,7,0,0,0,0,29,12,0,1,3,9,0,0,4,9,0,0,0,1,0,10,0,0,0,0,0,2,9,14,6,0,0,10,0,11,0,17,0,25,32,0,0,17,0,0,1,0,10,0,286
19,7,3,7,4,0,0,0,0,16,6,0,0,1,5,1,0,1,8,0,1,0,0,0,13,15,0,0,2,0,11,6,5,10,0,4,11,0,22,0,5,9,6,28,0,0,28,0,0,1,10,11,0,276
20,7,9,4,9,0,0,0,0,28,4,0,0,3,2,0,0,1,10,0,2,0,0,1,9,0,1,0,7,5,18,6,1,5,1,2,6,1,9,0,0,4,6,30,5,0,20,0,5,0,2,19,0,262
13,7,3,3,15,0,0,0,0,35,2,0,1,5,13,0,4,1,3,0,12,1,0,0,9,2,0,0,2,0,2,0,0,7,3,0,6,0,13,0,0,2,5,43,0,0,22,0,0,0,0,19,0,253
18,7,13,1,5,1,0,0,0,25,13,0,0,6,3,0,1,0,5,0,2,0,0,0,7,6,0,0,1,0,8,0,2,5,0,7,5,1,11,0,0,2,1,58,2,0,14,0,0,0,0,19,0,249
14,7,1,2,9,5,0,0,1,34,2,1,0,3,8,0,0,5,10,0,0,0,0,0,1,3,0,0,2,0,8,0,1,3,4,0,6,1,10,0,5,4,3,85,0,0,22,0,0,0,0,27,0,287
18,7,5,0,14,0,0,0,0,53,5,1,0,10,11,0,9,0,11,0,0,0,1,0,6,2,0,0,4,0,2,2,3,8,2,0,17,0,8,0,0,2,7,97,1,0,20,0,6,0,0,16,0,348
20,8,5,4,8,1,0,0,0,30,12,0,0,6,10,0,1,4,1,0,1,4,0,0,6,3,0,0,1,0,9,2,1,8,1,0,7,0,15,0,7,1,1,96,1,0,24,1,1,0,0,18,0,318
31,7,4,6,10,2,1,1,0,41,9,1,0,9,29,0,4,5,16,0,1,5,0,0,3,3,0,0,0,0,5,2,0,10,3,10,12,0,15,0,8,1,5,54,1,0,22,0,1,1,0,18,0,356
21,7,4,5,16,4,0,0,0,49,13,1,0,5,30,2,4,5,17,0,1,3,3,0,0,3,0,0,0,1,5,5,8,5,3,29,22,0,17,0,3,0,4,41,2,0,21,1,2,1,0,25,0,388
